nom_produit,lien_produit,Description,img_produit
Bubblegum 100ml Sweets Chuffed,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14227-bubblegum-100ml-sweets.html,Des boules de chewing-gum pour votre clearomiseur,https://assets.aromes-et-liquides.fr/42096-thickbox_default/bubblegum-100ml-sweets.jpg
Noisette Alfaliquid,https://www.aromes-et-liquides.fr/e-liquide-alfaliquid/1430-e-liquide-noisette-alfaliquid-10ml.html,Une saveur de noisette à verser directement dans un clearomiseur,https://assets.aromes-et-liquides.fr/55022-thickbox_default/e-liquide-noisette-alfaliquid-10ml.jpg
Ultimate Nagato A&L 50ml,https://www.aromes-et-liquides.fr/e-liquide-ultimate/13431-ultimate-nagato-50ml.html,La pop-corn et la crème brulée du Nagato en e-liquide 50ml,https://assets.aromes-et-liquides.fr/39395-thickbox_default/ultimate-nagato-50ml.jpg
Lemon Tart 100ml Dessert...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14143-lemon-tart-100ml-dessert.html,Une tarte au citron revisitée par la marque anglaise Chuffed,https://assets.aromes-et-liquides.fr/41746-thickbox_default/lemon-tart-100ml-dessert.jpg
Réglisse Exquise Petit Nuage,https://www.aromes-et-liquides.fr/e-liquide-petit-nuage/10491-e-liquide-reglisse-exquise-par-petit-nuage.html,Un bonbon à la réglisse dans 10ml de e-liquide prêt à vaper,https://assets.aromes-et-liquides.fr/54439-thickbox_default/e-liquide-reglisse-exquise-par-petit-nuage.jpg
Cookies and Cream 100ml...,https://www.aromes-et-liquides.fr/e-liquide-chuffed/14693-cookies-and-cream-100ml-dessert.html,Des cookies aux pépites de chocolat et de la crème,https://assets.aromes-et-liquides.fr/43725-thickbox_default/cookies-and-cream-100ml-dessert.jpg
Noisette Gourmande Cirkus VDLV,https://www.aromes-et-liquides.fr/e-liquide-cirkus-vdlv/5539-e-liquide-cirkus-noisette-gourmande-par-vdlv.html,Une pâte à tartiner à la noisette dans un e-liquide prêt à l'emploi,https://assets.aromes-et-liquides.fr/54985-thickbox_default/e-liquide-cirkus-noisette-gourmande-par-vdlv.jpg
La Chose Salt E-Vapor Le...,https://www.aromes-et-liquides.fr/e-liquide-le-french-liquide/6142-e-liquide-la-chose-salt-e-vapor-par-le-french-liquide.html,Une célèbre recette en e-liquide 10ml avec sels de nicotine,https://assets.aromes-et-liquides.fr/54343-thickbox_default/e-liquide-la-chose-salt-e-vapor-par-le-french-liquide.jpg
E-liquide Unicorn Frappé 80ml par Juice Man's,https://www.aromes-et-liquides.fr/e-liquide-juice-man/5363-e-liquide-unicorn-frappe-80ml-par-juice-man-s.html,"Une recette à base de framboise, de mangue et de barbe à papa !",https://assets.aromes-et-liquides.fr/13682-thickbox_default/e-liquide-unicorn-frappe-80ml-par-juice-man-s.jpg
Paris Brest 100ml Retro...,https://www.aromes-et-liquides.fr/e-liquide-juice-66/15886-paris-brest-100ml-retro.html,Un chou à la crème pralinée dans 100ml de e-liquide !,https://assets.aromes-et-liquides.fr/46914-thickbox_default/paris-brest-100ml-retro.jpg
